Internal ID,Product Name,Category,Retail Price USD,Compare At Price USD,Supplier Cost USD,Gross Margin %,SKU,Whop Product ID,Whop Checkout URL,Image URL,Stock
prod_cj_0011,Multifunctional Folding Book Light Battery Night Light Creative Learning Bedside Light,Lighting & Ambience,9.72,13.12,2.43,75.0%,CJ-138577019918,prod_buN4Kfy5STCxy,https://whop.com/checkout/plan_mLDAC1QUMhwXs,"https://cc-west-usa.oss-accelerate.aliyuncs.com/1619228177895.jpg?x-oss-process=image/format,webp,image/resize,m_fill,m_pad,w_250,h_250",85
prod_cj_0012,Sewing Machine Light Strip Touch Sensitive Dimming LED Light Bar,Lighting & Ambience,31.97,43.16,9.99,68.8%,CJ-0BA7B552-667,prod_jx4B1n7MzC0ty,https://whop.com/checkout/plan_XMlaUyf0luiMx,"https://cc-west-usa.oss-accelerate.aliyuncs.com/20190620/3519121044737.png?x-oss-process=image/format,webp,image/resize,m_fill,m_pad,w_250,h_250",85
prod_cj_0013,US Solar Camera Low Power Monitor Dual Lens Monitor,"Home, Wellness & Lifestyle",11.28,15.23,2.82,75.0%,CJ-250816085207,prod_PzkISCaKPfU1n,https://whop.com/checkout/plan_IoBEnoIgWTK5t,https://frontend-cf.cjdropshipping.com/config-resource/cj/img_default.jpeg,85
prod_cj_0014,Usb Computer Web Camera 1080P Fill Light Beauty Uvc Songhan Pc Camera,Workspace & Desk Accessories,22.27,30.06,6.96,68.7%,CJ-138722009145,prod_TN15Ne3Pcxobe,https://whop.com/checkout/plan_i0o793UhUNwQ0,"https://cf.cjdropshipping.com/1619573801485.jpg?x-oss-process=image/format,webp,image/resize,m_fill,m_pad,w_250,h_250",85
prod_cj_0015,LED Linear Light Embedded Aluminum Lamp Slot U-shaped Alloy Linear Light Bar,Lighting & Ambience,6.32,8.53,1.58,75.0%,CJ-250805073945,prod_Q1PnSXVNf3pWh,https://whop.com/checkout/plan_kIF7M6s2WQgI9,https://frontend-cf.cjdropshipping.com/config-resource/cj/img_default.jpeg,85
prod_cj_0016,English and Russian bilingual speed measuring radar electronic dog,Automotive & Travel,27.74,37.45,8.67,68.7%,CJ-1BAF9F05-ABB,prod_QObr0v5p8GW9p,https://whop.com/checkout/plan_TbcK7KD4YPdhR,"https://cc-west-usa.oss-accelerate.aliyuncs.com/2061/3311529998911.jpg?x-oss-process=image/format,webp,image/resize,m_fill,m_pad,w_250,h_250",85
prod_cj_0017,Head-up Display Gps High-definition Speed Water Temperature Turbine Monitoring,Automotive & Travel,76.94,103.87,26.93,65.0%,CJ-138009453696,prod_jK5oSLhmMO7Fr,https://whop.com/checkout/plan_rJ6KkTvioLrPO,https://frontend-cf.cjdropshipping.com/config-resource/cj/img_default.jpeg,85
prod_cj_0018,New Original Podofo A1 Mini Car DVR Camera DASH CAM Full HD,Automotive & Travel,15.08,20.36,3.77,75.0%,CJ-1F8D1B20-6FE,prod_wAy5dLMUPthbV,https://whop.com/checkout/plan_0n2v95pzmlbkq,"https://cf.cjdropshipping.com/20180907/2175215957062.png?x-oss-process=image/format,webp,image/resize,m_fill,m_pad,w_250,h_250",85
prod_cj_0020,Led super large shiny mouse pad,Keyboards & Peripherals,11.88,16.04,2.97,75.0%,CJ-361DD967-321,prod_WY9rX8R4gdFHz,https://whop.com/checkout/plan_LIHBfJQrS3jKP,"https://cc-west-usa.oss-accelerate.aliyuncs.com/15667488/255114328625.jpg?x-oss-process=image/format,webp,image/resize,m_fill,m_pad,w_250,h_250",85
prod_cj_0021,Table Pad Line Gaming Mouse Mat,Keyboards & Peripherals,3.12,4.21,0.78,75.0%,CJ-179538909915,prod_wcJx28MI28HTT,https://whop.com/checkout/plan_jkFbth7H91Gjf,"https://cf.cjdropshipping.com/quick/product/fff91767-b838-4380-ac8b-8d7da18c7842.jpg?x-oss-process=image/format,webp,image/resize,m_fill,m_pad,w_250,h_250",85
prod_cj_0022,Competitive Gaming Office Waterproof Mouse Pad,Keyboards & Peripherals,23.46,31.67,7.33,68.8%,CJ-138720512307,prod_OHU0xV165N8u4,https://whop.com/checkout/plan_3tlWEup1dkSR9,"https://cc-west-usa.oss-accelerate.aliyuncs.com/1619570240083.jpg?x-oss-process=image/format,webp,image/resize,m_fill,m_pad,w_250,h_250",85
prod_cj_0023,Men's leather washed leather jacket,Apparel & Outerwear,52.11,70.35,18.24,65.0%,CJ-B949E2ED-0D5,prod_tSTS88TSU3eof,https://whop.com/checkout/plan_JVOPbQ2iDNPm3,"https://cf.cjdropshipping.com/20200904/362915314679.jpg?x-oss-process=image/format,webp,image/resize,m_fill,m_pad,w_250,h_250",85
prod_cj_0024,Mouse Pad Oversized Stain-resistant Office Non-slip,Keyboards & Peripherals,5.40,7.29,1.35,75.0%,CJ-240623023647,prod_VkAs34k8CvoHt,https://whop.com/checkout/plan_KxMzNEyUb63JB,"https://cf.cjdropshipping.com/quick/product/a7b3e45b-204b-43dc-b01f-3530df399250.jpg?x-oss-process=image/format,webp,image/resize,m_fill,m_pad,w_250,h_250",85
prod_cj_0025,Notebook Computer Liner Bag Mouse Pad Protective Holster,Keyboards & Peripherals,17.68,23.87,4.42,75.0%,CJ-141010349146,prod_qfYNoV6YoumA3,https://whop.com/checkout/plan_HrZqM6oENM3eI,"https://cf.cjdropshipping.com/2befe572-190b-4454-ad31-de385227d370.jpg?x-oss-process=image/format,webp,image/resize,m_fill,m_pad,w_250,h_250",85
prod_cj_0026,Cat Scratching Board Mouse Sisal Cat Scratching Pad,Keyboards & Peripherals,9.00,12.15,2.25,75.0%,CJ-139847403875,prod_oNPlQEH59tJoW,https://whop.com/checkout/plan_WutODBwy8XuWO,"https://cf.cjdropshipping.com/1622256924927.jpg?x-oss-process=image/format,webp,image/resize,m_fill,m_pad,w_250,h_250",85
prod_cj_0027,Popular Motorcycle Leather Men's Leather Clothing,Apparel & Outerwear,35.01,47.26,10.94,68.8%,CJ-250105065741,prod_9nSVRnywh2iJm,https://whop.com/checkout/plan_lIrgDBN2mCI8O,"https://cf.cjdropshipping.com/quick/product/a4cf466b-a3a8-4825-a02d-7e99df8d8002.jpg?x-oss-process=image/format,webp,image/resize,m_fill,m_pad,w_250,h_250",85
prod_cj_0028,Stand-up collar leather padded leather jacket,Apparel & Outerwear,22.91,30.93,7.16,68.7%,CJ-EFA82799-2ED,prod_aybA1w7PGyZBI,https://whop.com/checkout/plan_LWBAR5V1SZ54Q,"https://cf.cjdropshipping.com/2059/466847051344.jpg?x-oss-process=image/format,webp,image/resize,m_fill,m_pad,w_250,h_250",85
prod_cj_0029,Women's Faux Leather Retro Biker's Leather Coat,Apparel & Outerwear,45.00,60.75,15.75,65.0%,CJ-240831054606,prod_KL4yjetvAV8ms,https://whop.com/checkout/plan_wxUVKwoXXnY6T,"https://cf.cjdropshipping.com/quick/product/c3600e37-08b5-4d6a-ab5f-cb6d1ce0f004.jpg?x-oss-process=image/format,webp,image/resize,m_fill,m_pad,w_250,h_250",85
prod_cj_0030,Spring Leather Men's Slim Stand Collar Leather Jacket,Apparel & Outerwear,116.37,157.10,40.73,65.0%,CJ-136955115932,prod_sXjoBRk8kh0Nn,https://whop.com/checkout/plan_0Wq9A7O8csnhp,"https://cc-west-usa.oss-accelerate.aliyuncs.com/1615361127449.jpg?x-oss-process=image/format,webp,image/resize,m_fill,m_pad,w_250,h_250",85
prod_cj_0031,"Large Mouse Pad, Gaming Gaming, Colorful Seaming, Waterproof Cloth",Keyboards & Peripherals,16.77,22.64,5.24,68.8%,CJ-140181043699,prod_J38VoRbrE9hPY,https://whop.com/checkout/plan_UAUKVHeTKINdI,"https://cc-west-usa.oss-accelerate.aliyuncs.com/1623052378775.jpg?x-oss-process=image/format,webp,image/resize,m_fill,m_pad,w_250,h_250",85
prod_cj_0032,Crossbody Multifunctional Wallet Leather Case IP16 Card-inserting Leather Case,Apparel & Outerwear,25.38,34.26,7.93,68.8%,CJ-241226145640,prod_gGpRaE2LweUsR,https://whop.com/checkout/plan_3R3z9VJwDZONi,"https://cf.cjdropshipping.com/quick/product/8c5c0155-a717-4545-b960-ca6e8cb56f5e.jpg?x-oss-process=image/format,webp,image/resize,m_fill,m_pad,w_250,h_250",85
prod_cj_0033,Men's Leather Jacket Men's Youth Loose Lapel Workwear Pu Leather Jacket,Apparel & Outerwear,29.18,39.39,9.12,68.7%,CJ-135725479757,prod_dvQlUdOgA6Gyp,https://whop.com/checkout/plan_3BY6E5oI6AGjI,"https://cf.cjdropshipping.com/1612429335171.jpg?x-oss-process=image/format,webp,image/resize,m_fill,m_pad,w_250,h_250",85
prod_cj_0034,Loose Leather Jacket Motorcycle Female,Apparel & Outerwear,17.95,24.23,5.61,68.7%,CJ-240621082419,prod_5XdH5ApUqK1cE,https://whop.com/checkout/plan_rKebQOmhyCgTF,"https://cf.cjdropshipping.com/quick/product/33345214-1df0-40eb-92c4-4a6148ea3ee5.jpg?x-oss-process=image/format,webp,image/resize,m_fill,m_pad,w_250,h_250",85
prod_cj_0035,Pure Cowhide Biker's Leather Jacket,Apparel & Outerwear,164.77,222.44,57.67,65.0%,CJ-240705043827,prod_wVUzEl1ztrWf3,https://whop.com/checkout/plan_UbAWgwZ4y87N2,"https://cf.cjdropshipping.com/quick/product/5b3ff548-f46f-479e-b7a7-e0f13a02ed20.jpg?x-oss-process=image/format,webp,image/resize,m_fill,m_pad,w_250,h_250",85
prod_cj_0036,"Laptop Phone Holder, Adjustable Laptop Side Mount Clip, Magnetic Laptop Monitor Mount,",Workspace & Desk Accessories,23.49,31.71,7.34,68.8%,CJ-172972363435,prod_1igNVA3WyhvPe,https://whop.com/checkout/plan_8i3BqcvCe6sPF,"https://cf.cjdropshipping.com/679f3121-b2a5-4252-81d9-ec1d6cddb53c.jpg?x-oss-process=image/format,webp,image/resize,m_fill,m_pad,w_250,h_250",85
prod_cj_0037,Laptop Stand Desktop Aluminum Alloy Heat Dissipation,Workspace & Desk Accessories,37.15,50.15,11.61,68.7%,CJ-250827072721,prod_foWlkLNPCPNEw,https://whop.com/checkout/plan_eZ9bcf5aFSC6T,"https://oss-cf.cjdropshipping.com/product/2025/08/27/07/c6dd32ec-9db3-49ab-be25-e95e502582bb_trans.jpeg?x-oss-process=image/format,webp,image/resize,m_fill,m_pad,w_250,h_250",85
prod_cj_0038,New Laptop Stand Multifunctional Folding Lift Portable Laptop Stand Monitor Increase Rack,Workspace & Desk Accessories,37.82,51.06,11.82,68.7%,CJ-DCB495CC-80F,prod_yFG34bXzRHTvO,https://whop.com/checkout/plan_j3vOnCgGNIW9N,"https://oss-cf.cjdropshipping.com/product/2024/03/21/07/93a7bc1e-4fa2-4744-b123-5913cde779b0.jpg?x-oss-process=image/format,webp,image/resize,m_fill,m_pad,w_250,h_250",85
prod_cj_0039,Foldable laptop stand,Workspace & Desk Accessories,12.40,16.74,3.10,75.0%,CJ-4C56FFFA-399,prod_sIPR9tHJWWjA0,https://whop.com/checkout/plan_hTFEVOBp7e67Q,"https://cc-west-usa.oss-us-west-1.aliyuncs.com/20200301/649667129707.jpg?x-oss-process=image/format,webp,image/resize,m_fill,m_pad,w_250,h_250",85
prod_cj_0040,Car Dining Table Rear Seat Folding Rice Table Laptop Stand,Automotive & Travel,50.11,67.65,17.54,65.0%,CJ-240617100019,prod_atBIea4pxzvEc,https://whop.com/checkout/plan_XT8x7TaUQ2qSw,"https://cf.cjdropshipping.com/quick/product/1f1819b9-7138-4048-8bbf-542dc46d91b0.jpg?x-oss-process=image/format,webp,image/resize,m_fill,m_pad,w_250,h_250",85
prod_cj_0042,15W 3 In 1 LED Fast Wireless Charger Stand Foldable Charging Station,Smart Gear & Power,18.12,24.46,4.53,75.0%,CJ-240830071622,prod_rLNlXMGc2gfeW,https://whop.com/checkout/plan_zUJtBYQP95ajr,"https://oss-cf.cjdropshipping.com/product/2024/09/19/06/de329d46-5fbb-4564-ab7a-45fe417fdaed.jpg?x-oss-process=image/format,webp,image/resize,m_fill,m_pad,w_250,h_250",85
prod_cj_0043,"Compatible with Apple , 3-in-1 Wireless Charger",Smart Gear & Power,31.49,42.51,9.84,68.8%,CJ-9EC48B24-A97,prod_cV4i3ivhcoACx,https://whop.com/checkout/plan_ZQ08ymTHaf8SY,"https://cc-west-usa.oss-accelerate.aliyuncs.com/20190319/2491014586587.png?x-oss-process=image/format,webp,image/resize,m_fill,m_pad,w_250,h_250",85
prod_cj_0044,Plastic 3 In 1 Wireless Charger Stand Fast,Smart Gear & Power,13.40,18.09,3.35,75.0%,CJ-158895340166,prod_xLWJnC2JRlbHn,https://whop.com/checkout/plan_sgUl2xaLlvF5B,"https://cf.cjdropshipping.com/3b91f8f1-50bf-40dd-b1bc-cae6fb469ff5.jpg?x-oss-process=image/format,webp,image/resize,m_fill,m_pad,w_250,h_250",85
prod_cj_0045,Three-in-one Vertical Magnetic Wireless Portable Wireless Charger,Smart Gear & Power,34.50,46.58,10.78,68.8%,CJ-250528095439,prod_gcKJcNzkPQzHO,https://whop.com/checkout/plan_OUxgYsfJcPICP,"https://oss-cf.cjdropshipping.com/product/2025/05/28/09/20c2a684-652f-492a-be40-10cb44a1c3b7_fine.jpeg?x-oss-process=image/format,webp,image/resize,m_fill,m_pad,w_250,h_250",85
prod_cj_0046,Transparent Folding Magnetic Three-in-one Wireless Charger,Smart Gear & Power,34.50,46.58,10.78,68.8%,CJ-240801030330,prod_KJW0BZRmGkF9G,https://whop.com/checkout/plan_BTp1IA1J0H3hm,"https://oss-cf.cjdropshipping.com/product/2024/08/02/03/1f0ae125-3edb-4c07-bad3-26445d4c9fee_fine.jpeg?x-oss-process=image/format,webp,image/resize,m_fill,m_pad,w_250,h_250",85
prod_cj_0047,Three-in-one Basketball Magnetic Wireless Charger,Smart Gear & Power,164.89,222.60,57.71,65.0%,CJ-250107030254,prod_Nfz6YoehORVy9,https://whop.com/checkout/plan_oPVvgRJdUc0Lv,"https://oss-cf.cjdropshipping.com/product/2025/01/07/03/b15214e9-6783-4b19-842b-2e7ebf98afdb_trans.jpeg?x-oss-process=image/format,webp,image/resize,m_fill,m_pad,w_250,h_250",85
prod_cj_0048,Folding Magnetic Three-in-one Wireless Charger,Smart Gear & Power,38.75,52.31,12.11,68.7%,CJ-179610352237,prod_LajCa7YSmpSUW,https://whop.com/checkout/plan_kP6IxW4dLJwcy,"https://oss-cf.cjdropshipping.com/product/2024/05/30/08/986e7971-1499-4c4d-bf28-b14fefaf8b3d_trans.jpeg?x-oss-process=image/format,webp,image/resize,m_fill,m_pad,w_250,h_250",85
prod_cj_0049,Three-in-one Wireless Charger Electrical Foldable Double Wire Ambience Light Mobile Phone Wireless,Smart Gear & Power,12.80,17.28,3.20,75.0%,CJ-158699090974,prod_VGY3OKZ4bPQRt,https://whop.com/checkout/plan_WUfJhxHoQVwmI,"https://cf.cjdropshipping.com/409d441f-542c-4639-9162-281be030d92b.jpg?x-oss-process=image/format,webp,image/resize,m_fill,m_pad,w_250,h_250",85
prod_cj_0050,3 IN 1 Magnetic Folding Wireless Charger Station For IPhone Transparent Fast,Smart Gear & Power,63.97,86.36,22.39,65.0%,CJ-165576849458,prod_vxOmZXKqjf4Ej,https://whop.com/checkout/plan_Mu33kUkEj8h6o,"https://cf.cjdropshipping.com/eba5f6e8-9b22-4d3d-aa8e-9b7856b4b22f.png?x-oss-process=image/format,webp,image/resize,m_fill,m_pad,w_250,h_250",85
prod_cj_0051,Folding Three-in-one Wireless Charger Portable Magnetic Suction,Smart Gear & Power,25.41,34.30,7.94,68.8%,CJ-173920976558,prod_l78oPIjcC4Ag3,https://whop.com/checkout/plan_lJjvzVB2itpLr,"https://oss-cf.cjdropshipping.com/product/2024/03/04/05/e56db74e-e289-4604-a992-815283800025.jpg?x-oss-process=image/format,webp,image/resize,m_fill,m_pad,w_250,h_250",85
prod_cj_0052,Magnetic Three-in-one 15W Wireless Charger With Clock,Smart Gear & Power,24.42,32.97,7.63,68.8%,CJ-240718080208,prod_khLybnuvarm94,https://whop.com/checkout/plan_uU0t8JfwkZXET,"https://oss-cf.cjdropshipping.com/product/2024/07/19/05/88087108-8245-4aa8-8ce2-0a164d67716d_fine.jpeg?x-oss-process=image/format,webp,image/resize,m_fill,m_pad,w_250,h_250",85
prod_cj_0053,Magnetic Portable Smart Watch Wireless Charger,Watches & Timepieces,16.10,21.74,5.03,68.8%,CJ-241213095523,prod_HdqrRDijRssuT,https://whop.com/checkout/plan_sToOcZOJonN9w,"https://cf.cjdropshipping.com/quick/product/43df5acc-acb7-4890-ade6-2763cb6bd5a4.jpg?x-oss-process=image/format,webp,image/resize,m_fill,m_pad,w_250,h_250",85
prod_cj_0054,Portable Wireless Charger Folding Magnetic,Smart Gear & Power,30.78,41.55,9.62,68.7%,CJ-241229021035,prod_gn66Z9SIVaiye,https://whop.com/checkout/plan_K7owBhVFxci9R,"https://oss-cf.cjdropshipping.com/product/2024/12/29/02/3833f717-d69f-48e2-a2ac-177a63311598_trans.jpeg?x-oss-process=image/format,webp,image/resize,m_fill,m_pad,w_250,h_250",85
prod_cj_0055,Creative Portable Folding Ring Two-in-one Magnetic Wireless Charger,Smart Gear & Power,32.48,43.85,10.15,68.8%,CJ-240718082421,prod_ehqa3CLPP8xsE,https://whop.com/checkout/plan_k5Lv7ajYzcYoD,"https://cf.cjdropshipping.com/quick/product/07d7e2c7-03b5-427c-90cf-81ea4a34cfa8.jpg?x-oss-process=image/format,webp,image/resize,m_fill,m_pad,w_250,h_250",85
prod_cj_0056,Three in one wireless charger,Smart Gear & Power,21.12,28.51,6.60,68.8%,CJ-981CED52-CDF,prod_8Hx1NoydYBb1a,https://whop.com/checkout/plan_qjl7mkHUZNVEk,"https://cf.cjdropshipping.com/20200914/1817043679414.png?x-oss-process=image/format,webp,image/resize,m_fill,m_pad,w_250,h_250",85
prod_cj_0057,Qi2 Protocol Magnetic Touch Rotating Wireless Charger,Smart Gear & Power,134.14,181.09,46.95,65.0%,CJ-240830061037,prod_uONnLHs8QnIJt,https://whop.com/checkout/plan_GOnCEC4GWl5ti,"https://oss-cf.cjdropshipping.com/product/2024/08/30/06/32ffd603-e4b4-40bd-ab14-75deee2995d0_trans.jpeg?x-oss-process=image/format,webp,image/resize,m_fill,m_pad,w_250,h_250",85
prod_cj_0058,Mobile Phone Watch Headset Three-in-one Magnetic Rotating Wireless Charger,Watches & Timepieces,56.69,76.53,19.84,65.0%,CJ-179353184921,prod_AOnVye5nKaoYw,https://whop.com/checkout/plan_5BHlG5bqO67de,"https://cf.cjdropshipping.com/quick/product/2d871aca-3341-4362-9861-7a3de083d777.jpg?x-oss-process=image/format,webp,image/resize,m_fill,m_pad,w_250,h_250",85
prod_cj_0059,540 Rotate Luminous Magnetic Cable 3A Fast Charging Mobile Phone Charge Cable,Smart Gear & Power,6.92,9.34,1.73,75.0%,CJ-138442833705,prod_aPvXHyuw8KINw,https://whop.com/checkout/plan_IN97y3cLCgOYj,"https://cf.cjdropshipping.com/102b8c56-db9d-44e5-95b9-0478f7761629.jpg?x-oss-process=image/format,webp,image/resize,m_fill,m_pad,w_250,h_250",85
prod_cj_0060,USB Type C To USB C Cable 100W 66W Fast Charging,Smart Gear & Power,7.56,10.21,1.89,75.0%,CJ-162029612267,prod_9xDtvqHiC0w1m,https://whop.com/checkout/plan_OwuCCNEIijv9d,"https://cc-west-usa.cjdropshipping.com/aae125ab-f367-454d-baee-55121cfa121b.jpg?x-oss-process=image/format,webp,image/resize,m_fill,m_pad,w_250,h_250",85
prod_cj_0061,Braided Nylon Usb Type-C Usb-C Data Cable For Fast Charging And Data,Smart Gear & Power,31.97,43.16,9.99,68.8%,CJ-137636475456,prod_pDzRew0JAO4AC,https://whop.com/checkout/plan_HzAG67P2bLPly,"https://cc-west-usa.oss-accelerate.aliyuncs.com/1616985474298.jpg?x-oss-process=image/format,webp,image/resize,m_fill,m_pad,w_250,h_250",85
prod_cj_0062,Slingshot Aluminum Alloy Type-c Cellphone Charging & Data Cable Applicable Tyc Data,Smart Gear & Power,4.36,5.89,1.09,75.0%,CJ-240615095859,prod_Vdg9R59YMvwjx,https://whop.com/checkout/plan_swxEkx8WaS96h,"https://cf.cjdropshipping.com/quick/product/71ac4562-2537-4a01-bb2b-9d1e61d935ea.jpg?x-oss-process=image/format,webp,image/resize,m_fill,m_pad,w_250,h_250",85
prod_cj_0063,Digital Display Double Type-c Fast Charging Mobile Phone Data Cable,Smart Gear & Power,5.60,7.56,1.40,75.0%,CJ-250104033917,prod_xEfSFodJsAuog,https://whop.com/checkout/plan_PqogjAxSO2isj,"https://oss-cf.cjdropshipping.com/product/2025/01/04/03/bb451890-7dfa-4232-be2d-e4dc387f09a4_trans.jpeg?x-oss-process=image/format,webp,image/resize,m_fill,m_pad,w_250,h_250",85
prod_cj_0064,"Compatible With , Rogue Dog Data Cable Type C For Android Sport",Smart Gear & Power,11.48,15.50,2.87,75.0%,CJ-8A06779A-4C8,prod_SzZU9kk0k55dT,https://whop.com/checkout/plan_WFlkJOioDJPJG,"https://cf.cjdropshipping.com/1620293553721.jpg?x-oss-process=image/format,webp,image/resize,m_fill,m_pad,w_250,h_250",85
prod_cj_0065,New High-density Braided Flash Charging Data Cable Dual Type-c Charger,Smart Gear & Power,15.00,20.25,3.75,75.0%,CJ-138179209196,prod_RoDUV7i24vPA6,https://whop.com/checkout/plan_Oqz2M8nuN72mP,"https://cc-west-usa.cjdropshipping.com/1618312538944.jpg?x-oss-process=image/format,webp,image/resize,m_fill,m_pad,w_250,h_250",85
prod_cj_0066,"Compatible with Apple , Type-C Liquid Soft Rubber Data Cable For Android",Smart Gear & Power,2.20,2.97,0.55,75.0%,CJ-143191935247,prod_pNDmhrWR4aBEX,https://whop.com/checkout/plan_MYBKlgj6Dw8zx,"https://cc-west-usa.oss-accelerate.aliyuncs.com/a1195926-6073-473f-8f98-6edb900e88fc.jpg?x-oss-process=image/format,webp,image/resize,m_fill,m_pad,w_250,h_250",85
prod_cj_0067,"Compatible with Apple, Compatible with Apple , PD100W Dual-head Type-c Fast Charge",Smart Gear & Power,6.24,8.42,1.56,75.0%,CJ-139998889497,prod_nLqUt4OVA5YY6,https://whop.com/checkout/plan_7teLuRLMgQYPL,https://frontend-cf.cjdropshipping.com/config-resource/cj/img_default.jpeg,85
prod_cj_0068,Magnetic Cable LED Magnet Charger Cable USB Cable & USB Type-C USB,Smart Gear & Power,3.96,5.35,0.99,75.0%,CJ-461C62AD-6DD,prod_BNSZxaWmDi4wi,https://whop.com/checkout/plan_g0vyIlb89zyAI,"https://cc-west-usa.oss-accelerate.aliyuncs.com/20190511/2811275030690.jpg?x-oss-process=image/format,webp,image/resize,m_fill,m_pad,w_250,h_250",85
prod_cj_0069,Micro Usb Cable White Charging Cable,Smart Gear & Power,10.96,14.80,2.74,75.0%,CJ-160545188224,prod_25eM7hne341Jw,https://whop.com/checkout/plan_xcO5lv6gLTbJG,https://frontend-cf.cjdropshipping.com/config-resource/cj/img_default.jpeg,85
prod_cj_0070,3.1A Fast Charging USB Cable,Smart Gear & Power,31.97,43.16,9.99,68.8%,CJ-3104D239-C4B,prod_v5n7vyz2uXfox,https://whop.com/checkout/plan_2sJEdur7iZhIl,"https://oss-cf.cjdropshipping.com/product/2025/11/16/02/ab029e3d-1510-407d-9b99-c8a44ec302ed_trans.jpeg?x-oss-process=image/format,webp,image/resize,m_fill,m_pad,w_250,h_250",85
